PC,M1,M2,0.063,0.032,0.184,0.210,0.236
M1,M2,M3,0.063,0.032,0.191,0.217,0.243
M2,M3,M4,0.063,0.032,0.191,0.217,0.243
M2,M3,C4,0.063,0.032,0.191,0.217,0.243
M3,M4,M5,0.063,0.032,0.191,0.217,0.243
M4,M5,C6,0.063,0.032,0.191,0.217,0.243
M3,C4,C5,0.068,0.040,0.210,0.240,0.271
C4,C5,C6,0.090,0.040,0.190,0.217,0.244
C4,C5,K1,0.090,0.040,0.187,0.213,0.240
C4,C5,G1,0.090,0.040,0.188,0.214,0.241
M5,C6,C7,0.090,0.040,0.190,0.217,0.244
C5,C6,C7,0.090,0.040,0.190,0.217,0.244
C5,C6,G1,0.090,0.040,0.188,0.214,0.241
C6,C7,C8,0.090,0.040,0.190,0.217,0.244
C6,C7,G1,0.090,0.040,0.188,0.214,0.241
C6,C7,K1,0.090,0.040,0.187,0.213,0.240
C6,C7,H1,0.090,0.040,0.190,0.217,0.244
C7,C8,G1,0.090,0.040,0.188,0.214,0.241
C5,K1,K2,0.135,0.064,0.203,0.227,0.253
C7,K1,K2,0.135,0.064,0.203,0.227,0.253
K1,K2,K3,0.135,0.064,0.203,0.227,0.253
K1,K2,G1,0.135,0.064,0.203,0.227,0.253
K2,K3,K4,0.135,0.064,0.203,0.227,0.253
K3,K4,H1,0.135,0.064,0.202,0.225,0.250
K4,H1,H2,0.450,0.180,0.305,0.369,0.460
C7,H1,G1,0.450,0.180,0.300,0.363,0.450
H1,H2,G1,0.450,0.180,0.300,0.363,0.450
C5,G1,OI,0.880,0.360,0.285,0.334,0.397
C6,G1,OI,0.880,0.360,0.285,0.334,0.397
C7,G1,G2,0.880,0.360,0.287,0.335,0.397
C7,G1,OI,0.880,0.360,0.285,0.334,0.397
C7,G1,LB,0.880,0.360,0.293,0.340,0.400
C8,G1,G2,0.880,0.360,0.287,0.335,0.397
C8,G1,LB,0.880,0.360,0.293,0.340,0.400
K2,G1,G2,0.880,0.360,0.287,0.335,0.397
K2,G1,LB,0.880,0.360,0.293,0.340,0.400
H2,G1,G2,0.880,0.360,0.287,0.335,0.397
H1,G1,LB,0.880,0.360,0.293,0.340,0.400
G1,G2,LB,0.880,0.360,0.293,0.340,0.400
G1,OI,LB,3.170,1.080,0.354,0.414,0.497
