M1,0.063,0.032,22.39,28.18,38.42,0.171
M2,0.063,0.032,22.55,28.18,37.92,0.171
M3,0.063,0.032,22.55,28.18,37.92,0.171
M4,0.063,0.032,22.55,28.18,37.92,0.171
M5,0.063,0.032,22.55,28.18,37.92,0.171
C4,0.068,0.04,12.47,14.90,18.62,0.206
C5,0.090,0.04,10.49,12.93,16.98,0.199
C6,0.090,0.04,10.49,12.93,16.98,0.199
C7,0.090,0.04,10.49,12.93,16.98,0.199
C8,0.090,0.04,10.49,12.93,16.98,0.199
K1,0.135,0.064,3.77,4.532,5.53,0.241
K2,0.135,0.064,3.77,4.532,5.53,0.241
K3,0.135,0.064,3.77,4.532,5.53,0.241
K4,0.135,0.064,3.77,4.532,5.53,0.241
H1,0.450,0.18,0.196,0.243,0.307,0.338
H2,0.450,0.18,0.196,0.243,0.307,0.338
G1,0.88,0.36,0.049,0.058,0.072,0.361
G2,0.88,0.36,0.049,0.058,0.072,0.361
OI,3.17,1.08,0.0043,0.0054,0.0071,0.382
LB,2.925,1.800,0.009,0.01,0.011,0.385
