
 
     | u_cm3_dpu/u_cm3_dpu_regbank_rf_pc_fwd_ex_reg[31]/S | 14.553   |   MET | aview_typ_25c | 
     |                                                I f |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_regbank_rf_pc_fwd_ex_reg[30]/S | 15.787   |   MET | aview_typ_25c | 
     |                                                I f |          |       |               | 
     | u_cm3_bus_matrix_u_cm3_mtx_bit_master_addrbuf_addr | 18.419   |   MET | aview_typ_25c | 
     |                                      _reg[31]/SI f |          |       |               | 
     | u_cm3_bus_matrix_u_cm3_mtx_bit_master_addrbuf_addr | 21.008   |   MET | aview_typ_25c | 
     |                                      _reg[30]/SI f |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_fetch_u_cm3_dpu_fetch_ahbintf_ | 27.173   |   MET | aview_typ_25c | 
     |                               instr_de_reg[31]/D r |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_fetch_u_cm3_dpu_fetch_ahbintf_ | 31.324   |   MET | aview_typ_25c | 
     |                               instr_de_reg[22]/D f |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_fetch_u_cm3_dpu_fetch_ahbintf_ | 31.656   |   MET | aview_typ_25c | 
     |                               instr_de_reg[20]/D r |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_regbank_rf_pc_fwd_ex_reg[29]/S | 31.690   |   MET | aview_typ_25c | 
     |                                                I f |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_fetch_u_cm3_dpu_fetch_ahbintf_ | 32.926   |   MET | aview_typ_25c | 
     |                               instr_de_reg[24]/D f |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_fetch_u_cm3_dpu_fetch_ahbintf_ | 33.083   |   MET | aview_typ_25c | 
     |                               instr_de_reg[15]/D f |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_fetch_u_cm3_dpu_fetch_ahbintf_ | 33.300   |   MET | aview_typ_25c | 
     |                               instr_de_reg[19]/D r |          |       |               | 
     | u_cm3_bus_matrix_u_cm3_mtx_bit_master_addrbuf_addr | 34.929   |   MET | aview_typ_25c | 
     |                                      _reg[29]/SI f |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_fetch_u_cm3_dpu_fetch_ahbintf_ | 35.259   |   MET | aview_typ_25c | 
     |                               instr_de_reg[28]/D r |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_fetch_u_cm3_dpu_fetch_ahbintf_ | 37.967   |   MET | aview_typ_25c | 
     |                                instr_de_reg[8]/D f |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_fetch_u_cm3_dpu_fetch_ahbintf_ | 38.827   |   MET | aview_typ_25c | 
     |                               instr_de_reg[27]/D f |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_fetch_u_cm3_dpu_fetch_ahbintf_ | 39.107   |   MET | aview_typ_25c | 
     |                                instr_de_reg[4]/D r |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_fetch_u_cm3_dpu_fetch_ahbintf_ | 40.389   |   MET | aview_typ_25c | 
     |                               instr_de_reg[11]/D f |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_fetch_u_cm3_dpu_fetch_ahbintf_ | 40.667   |   MET | aview_typ_25c | 
     |                               instr_de_reg[30]/D f |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_alu_u_cm3_dpu_alu_dp_mcyc_temp | 40.734   |   MET | aview_typ_25c | 
     |                                    2_ex_reg[0]/D r |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_alu_u_cm3_dpu_alu_dp_mcyc_temp | 41.729   |   MET | aview_typ_25c | 
     |                                _low_ex_reg[31]/D f |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_fetch_u_cm3_dpu_fetch_ahbintf_ | 44.338   |   MET | aview_typ_25c | 
     |                                instr_de_reg[6]/D f |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_fetch_u_cm3_dpu_fetch_ahbintf_ | 45.126   |   MET | aview_typ_25c | 
     |                               instr_de_reg[12]/D f |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_fetch_u_cm3_dpu_fetch_ahbintf_ | 50.006   |   MET | aview_typ_25c | 
     |                                instr_de_reg[3]/D f |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_regbank_u_cm3_dpu_regfile_reg1 | 53.634   |   MET | aview_typ_25c | 
     |                                     1_reg[31]/SI r |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_regbank_u_cm3_dpu_regfile_reg4 | 53.642   |   MET | aview_typ_25c | 
     |                                      _reg[31]/SI r |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_regbank_u_cm3_dpu_regfile_reg5 | 53.682   |   MET | aview_typ_25c | 
     |                                       _reg[31]/D r |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_fetch_u_cm3_dpu_fetch_ahbintf_ | 53.951   |   MET | aview_typ_25c | 
     |                               instr_de_reg[14]/D r |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_regbank_u_cm3_dpu_regfile_reg6 | 54.120   |   MET | aview_typ_25c | 
     |                                       _reg[31]/D r |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_regbank_u_cm3_dpu_regfile_reg2 | 54.508   |   MET | aview_typ_25c | 
     |                                      _reg[31]/SI r |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_regbank_u_cm3_dpu_regfile_reg9 | 54.508   |   MET | aview_typ_25c | 
     |                                      _reg[31]/SI r |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_regbank_u_cm3_dpu_regfile_reg1 | 54.569   |   MET | aview_typ_25c | 
     |                                      5_reg[31]/D r |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_regbank_u_cm3_dpu_regfile_reg1 | 55.667   |   MET | aview_typ_25c | 
     |                                     3_reg[31]/SI r |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_regbank_u_cm3_dpu_regfile_reg8 | 55.848   |   MET | aview_typ_25c | 
     |                                      _reg[31]/SI r |          |       |               | 
